tag,floor,guide,lead,balance,conservation
W4W8_floor,W4,uniform,24,1.96875281472727,0.27309840354474924
W4W8_floor,W4,uniform,72,6.6179495481349875,0.46019747725129356
W4W8_floor,W4,uniform,120,11.46670285677756,0.2818921114951685
W4W8_floor,W4,uniform,168,17.7867369635245,0.20445942038814352
ceiling,bf16,uniform,24,0.00026545998867388414,0.0002763569881722037
ceiling,bf16,uniform,72,0.0005748116540890543,0.0003744484385184767
ceiling,bf16,uniform,120,0.001389817636391378,0.0004844472862023185
ceiling,bf16,uniform,168,0.0030320515934372932,0.0013815743037513
W4W8_knee,W4,physics,24,1.2528902189843116,0.13671480905729383
W4W8_knee,W4,physics,72,4.153207508073133,0.5268100052793225
W4W8_knee,W4,physics,120,7.012613202203838,0.42281918452744666
W4W8_knee,W4,physics,168,10.635046612615403,0.31826970697724927
W4W8_span1,W4,physics,24,0.06338315061382259,0.01403975033804104
W4W8_span1,W4,physics,72,0.20670117087098147,0.07240807083766425
W4W8_span1,W4,physics,120,0.3805920837438956,0.060908285702211726
W4W8_span1,W4,physics,168,0.5918882126938169,0.02064775930734448
W4W8_span2,W4,physics,24,0.022025340505331698,0.0313270124075331
W4W8_span2,W4,physics,72,0.0752120197033851,0.07114473578010282
W4W8_span2,W4,physics,120,0.13784781458920817,0.021064586919446626
W4W8_span2,W4,physics,168,0.18314137179631276,0.0430275275523096
W4W8_span3,W4,physics,24,0.004343882862889428,0.00035872391103661564
W4W8_span3,W4,physics,72,0.011051349895947743,0.0005095803282661465
W4W8_span3,W4,physics,120,0.010980079169730038,0.0022109339028689476
W4W8_span3,W4,physics,168,0.009504438338160552,0.003727862775248313
W4W8_rmse_span1,W4,rmse,24,0.3028835869013749,0.06764374063144268
W4W8_rmse_span1,W4,rmse,72,0.808793188643953,0.9221405886112782
W4W8_rmse_span1,W4,rmse,120,1.102251435579905,0.6261235681634236
W4W8_rmse_span1,W4,rmse,168,1.5609738850201105,0.6611944015679313
W4W8_rmse_span2,W4,rmse,24,0.01937450258384236,0.05298830516915507
W4W8_rmse_span2,W4,rmse,72,0.04779795807212925,0.11988068897359354
W4W8_rmse_span2,W4,rmse,120,0.06838997547277745,0.07885476319665793
W4W8_rmse_span2,W4,rmse,168,0.11965613349998648,0.052962528336530916
W4W8_rmse_span3,W4,rmse,24,0.008004476491502663,0.005013317883814568
W4W8_rmse_span3,W4,rmse,72,0.01944813858347479,0.00024439583413042695
W4W8_rmse_span3,W4,rmse,120,0.018129746631111544,0.006729748260225656
W4W8_rmse_span3,W4,rmse,168,0.01263632602572997,0.015625585080922686
W4W8_rmseup_span1,W4,rmse,24,0.016798971871088746,0.056162019036453806
W4W8_rmseup_span1,W4,rmse,72,0.03932762206347362,0.14326052197241773
W4W8_rmseup_span1,W4,rmse,120,0.07156220283727957,0.08714028019576626
W4W8_rmseup_span1,W4,rmse,168,0.1320472299290029,0.05041165224689624
W4W8_rmseup_span2,W4,rmse,24,0.006188019611966514,0.006422909481773852
W4W8_rmseup_span2,W4,rmse,72,0.011646237281587271,0.0013269176777769474
W4W8_rmseup_span2,W4,rmse,120,0.02189990098972934,0.0112744207101665
W4W8_rmseup_span2,W4,rmse,168,0.03473452944320107,0.027687379399329033
W4W8_rmseup_span3,W4,rmse,24,0.00394507995746611,0.004962998292023616
W4W8_rmseup_span3,W4,rmse,72,0.008868866534913275,0.0011817103201625717
W4W8_rmseup_span3,W4,rmse,120,0.00829697297432228,0.0053144036288411516
W4W8_rmseup_span3,W4,rmse,168,0.006079234080772873,0.010879380430479535
W8A8_floor,W8A8,uniform,24,0.42064889258211186,0.009265761916229758
W8A8_floor,W8A8,uniform,72,0.745598468941085,0.060572039594015914
W8A8_floor,W8A8,uniform,120,0.9280511946961983,0.007755389909119145
W8A8_floor,W8A8,uniform,168,1.117528298936939,0.023840783444762835
W8A8_knee,W8A8,physics,24,0.12296343557018864,0.062479048267182515
W8A8_knee,W8A8,physics,72,0.30083196761782366,0.09329192796218418
W8A8_knee,W8A8,physics,120,0.43568449334116516,0.000438913327870778
W8A8_knee,W8A8,physics,168,0.5841169210813648,0.13174409250960945
W8A8_span1,W8A8,physics,24,0.04696628460037439,0.016948838961666185
W8A8_span1,W8A8,physics,72,0.09692499524158715,0.005274842771561655
W8A8_span1,W8A8,physics,120,0.08764950278472099,0.008245986730218065
W8A8_span1,W8A8,physics,168,0.0616705143196928,0.010657792287483002
W8A8_span2,W8A8,physics,24,0.0356997982866798,0.008387585240615301
W8A8_span2,W8A8,physics,72,0.06906413937642182,0.0070270380911821835
W8A8_span2,W8A8,physics,120,0.06559357986555854,0.004467023487187901
W8A8_span2,W8A8,physics,168,0.05678895025163316,0.0008291260254418275
W8A8_span3,W8A8,physics,24,0.00926283794541423,0.006283194336458278
W8A8_span3,W8A8,physics,72,0.018926041055697073,0.009478808665974588
W8A8_span3,W8A8,physics,120,0.010746345773439634,0.00047943793369994726
W8A8_span3,W8A8,physics,168,0.008633775255887603,0.0010500715270399176
W8A8_rmse_span1,W8A8,rmse,24,0.09874396051991131,0.0533542338823201
