# mean signed RMSE degradation vs FP32, percent, per lead. source=harness_results.pt vars=7
scheme,role,tag,lead,deg_pct
,ceiling,ceiling,24,0.000773476
,ceiling,ceiling,72,-0.00225427
,ceiling,ceiling,120,-0.00533059
,ceiling,ceiling,168,-0.00410349
W8A8,floor,W8A8_floor,24,1.67981
W8A8,floor,W8A8_floor,72,1.20716
W8A8,floor,W8A8_floor,120,0.739264
W8A8,floor,W8A8_floor,168,0.452764
W8A8,knee,W8A8_knee,24,0.44883
W8A8,knee,W8A8_knee,72,0.252566
W8A8,knee,W8A8_knee,120,0.1194
W8A8,knee,W8A8_knee,168,0.0921541
W8A8,span1,W8A8_span1,24,0.236141
W8A8,span1,W8A8_span1,72,0.188713
W8A8,span1,W8A8_span1,120,0.191627
W8A8,span1,W8A8_span1,168,0.131784
W8A8,span2,W8A8_span2,24,0.141886
W8A8,span2,W8A8_span2,72,0.0998061
W8A8,span2,W8A8_span2,120,0.0620892
W8A8,span2,W8A8_span2,168,-0.0135824
W8A8,span3,W8A8_span3,24,0.0949091
W8A8,span3,W8A8_span3,72,0.0599656
W8A8,span3,W8A8_span3,120,0.0219881
W8A8,span3,W8A8_span3,168,0.0197396
W4W8,floor,W4W8_floor,24,14.9905
W4W8,floor,W4W8_floor,72,20.1153
W4W8,floor,W4W8_floor,120,19.0946
W4W8,floor,W4W8_floor,168,16.927
W4W8,knee,W4W8_knee,24,11.7379
W4W8,knee,W4W8_knee,72,16.2114
W4W8,knee,W4W8_knee,120,15.5482
W4W8,knee,W4W8_knee,168,13.7418
W4W8,span1,W4W8_span1,24,1.19105
W4W8,span1,W4W8_span1,72,1.50785
W4W8,span1,W4W8_span1,120,1.72508
W4W8,span1,W4W8_span1,168,1.04904
W4W8,span2,W4W8_span2,24,1.51974
W4W8,span2,W4W8_span2,72,2.05052
W4W8,span2,W4W8_span2,120,2.02777
W4W8,span2,W4W8_span2,168,1.52546
W4W8,span3,W4W8_span3,24,0.00200467
W4W8,span3,W4W8_span3,72,-0.00569967
W4W8,span3,W4W8_span3,120,-0.00881731
W4W8,span3,W4W8_span3,168,3.55527e-05
