# per-initialisation RMSE degradation vs FP32, percent. source=harness_results.pt vars=7. Spread over inits is WEATHER VARIABILITY, not an interval on the mean -- inits are autocorrelated and n_eff is well below n.
tag,lead,init,deg_pct
ceiling,24,0,-0.00505243
ceiling,24,1,0.00561945
ceiling,24,2,0.00582969
ceiling,24,3,-0.000992024
ceiling,24,4,0.00145035
ceiling,24,5,0.000603134
ceiling,24,6,-0.00526841
ceiling,24,7,0.00697203
ceiling,24,8,-0.00366003
ceiling,24,9,-0.00094002
ceiling,24,10,-0.000963132
ceiling,24,11,0.00475862
ceiling,24,12,-0.0026103
ceiling,24,13,-0.00320214
ceiling,24,14,0.00261461
ceiling,24,15,0.000620078
ceiling,24,16,-0.00389509
ceiling,24,17,0.000400021
ceiling,24,18,0.00848481
ceiling,24,19,0.000171249
ceiling,24,20,0.00160061
ceiling,24,21,0.00423483
ceiling,24,22,-0.00250493
ceiling,24,23,0.00612377
ceiling,24,24,-0.000278553
ceiling,24,25,-0.00530976
ceiling,24,26,-0.00195452
ceiling,24,27,0.00120701
ceiling,24,28,0.00502178
ceiling,24,29,0.00322176
ceiling,24,30,0.00714794
ceiling,24,31,0.0084607
ceiling,24,32,-0.000828795
ceiling,24,33,-0.00188079
ceiling,24,34,0.00637738
ceiling,24,35,-0.00273998
ceiling,24,36,0.00197559
ceiling,24,37,-0.00157231
ceiling,24,38,0.00100228
ceiling,24,39,-0.00372629
ceiling,24,40,0.00152671
ceiling,24,41,0.00204987
ceiling,24,42,-0.00215862
ceiling,24,43,-0.00556596
ceiling,24,44,0.00238435
ceiling,24,45,0.000844226
ceiling,24,46,0.000754623
ceiling,72,0,0.0206161
ceiling,72,1,0.00569707
ceiling,72,2,0.00540403
ceiling,72,3,-0.00390468
ceiling,72,4,-0.022456
ceiling,72,5,-0.0106638
ceiling,72,6,-0.0191956
ceiling,72,7,-0.0159661
ceiling,72,8,0.00364318
ceiling,72,9,-0.0366844
ceiling,72,10,-0.0184123
ceiling,72,11,0.0129975
ceiling,72,12,-0.00770321
ceiling,72,13,-0.0310769
ceiling,72,14,0.0390774
ceiling,72,15,0.00322932
ceiling,72,16,-0.0231861
ceiling,72,17,0.00403849
ceiling,72,18,0.00511762
ceiling,72,19,-0.00778721
ceiling,72,20,0.00237441
ceiling,72,21,-0.0223722
ceiling,72,22,-0.0035229
ceiling,72,23,0.0214553
ceiling,72,24,0.0100948
ceiling,72,25,-0.0125076
ceiling,72,26,0.00353452
ceiling,72,27,0.00216491
ceiling,72,28,-0.00195614
ceiling,72,29,-0.00478369
ceiling,72,30,0.00264816
ceiling,72,31,-0.0015605
ceiling,72,32,-0.0047914
ceiling,72,33,0.0240132
ceiling,72,34,-0.00428262
ceiling,72,35,-0.0159225
ceiling,72,36,0.00851112
ceiling,72,37,-0.0184128
ceiling,72,38,0.0175991
ceiling,72,39,0.0102651
ceiling,72,40,0.0200249
ceiling,72,41,0.00146799
ceiling,72,42,-0.012424
ceiling,72,43,-0.0120125
ceiling,72,44,-0.00929156
ceiling,72,45,-0.00476338
ceiling,72,46,-0.0042852
ceiling,120,0,0.0399399
ceiling,120,1,0.0282924
ceiling,120,2,-0.00525532
ceiling,120,3,0.00689497
ceiling,120,4,-0.0222235
ceiling,120,5,-0.0271242
ceiling,120,6,-0.0364808
ceiling,120,7,-0.00358639
ceiling,120,8,-0.0131
ceiling,120,9,-0.04452
ceiling,120,10,-0.0159156
ceiling,120,11,-0.00571628
ceiling,120,12,-0.0183363
ceiling,120,13,-0.0304134
ceiling,120,14,0.0403023
ceiling,120,15,-0.0155659
ceiling,120,16,-0.0139012
ceiling,120,17,0.0170686
ceiling,120,18,-0.0147196
ceiling,120,19,-0.0263205
ceiling,120,20,-0.00109525
ceiling,120,21,-0.0460099
ceiling,120,22,-0.00966559
ceiling,120,23,0.0317455
ceiling,120,24,0.0254713
ceiling,120,25,0.0120396
ceiling,120,26,-0.00861646
ceiling,120,27,-0.00237257
ceiling,120,28,-0.003149
ceiling,120,29,-0.0129401
ceiling,120,30,0.0145151
ceiling,120,31,-0.0192939
ceiling,120,32,-0.0466198
ceiling,120,33,0.0145576
ceiling,120,34,-0.0123108
ceiling,120,35,-0.0162712
ceiling,120,36,-0.000118782
ceiling,120,37,0.00343526
ceiling,120,38,0.025391
ceiling,120,39,-0.0104991
ceiling,120,40,0.0333864
ceiling,120,41,-0.00550593
ceiling,120,42,-0.0473077
ceiling,120,43,0.0133768
ceiling,120,44,-0.0132212
ceiling,120,45,-0.000682538
ceiling,120,46,-0.00809572
ceiling,168,0,-0.0149776
ceiling,168,1,0.0366964
ceiling,168,2,0.023044
ceiling,168,3,0.0174855
ceiling,168,4,-0.0260089
ceiling,168,5,-0.0162121
ceiling,168,6,0.00385123
ceiling,168,7,0.0295011
ceiling,168,8,0.0100666
ceiling,168,9,-0.0271297
ceiling,168,10,-0.00322481
ceiling,168,11,0.00352972
ceiling,168,12,-0.0314992
ceiling,168,13,-0.00960133
ceiling,168,14,0.0479676
ceiling,168,15,-0.00669018
ceiling,168,16,-0.0385573
ceiling,168,17,0.0243551
ceiling,168,18,0.0253987
ceiling,168,19,-0.00596933
ceiling,168,20,0.00726319
ceiling,168,21,-0.0544377
ceiling,168,22,-0.0304367
ceiling,168,23,-0.00215694
