# per (initialisation, variable) RMSE for the config and FP32. source=harness_results.pt. Raw material for the POOLED bootstrap: pooling happens inside each resample, so a pre-collapsed degradation series cannot produce it.
tag,lead,init,var,r_cfg,r_ref
ceiling,24,0,geopotential_500,41.71315384,41.72114563
ceiling,24,0,temperature_850,0.579084754,0.5791196823
ceiling,24,0,2m_temperature,0.5972349048,0.5972673893
ceiling,24,0,mean_sea_level_pressure,50.85590363,50.85903549
ceiling,24,0,specific_humidity_700,0.000520641508,0.0005206365604
ceiling,24,0,u_component_of_wind_500,1.555940151,1.555951953
ceiling,24,0,v_component_of_wind_500,1.596666694,1.596647143
ceiling,24,1,geopotential_500,46.60320282,46.59848404
ceiling,24,1,temperature_850,0.5850279927,0.5850183964
ceiling,24,1,2m_temperature,0.6174046993,0.6173436642
ceiling,24,1,mean_sea_level_pressure,52.77080154,52.76692963
ceiling,24,1,specific_humidity_700,0.0004937062622,0.0004936930491
ceiling,24,1,u_component_of_wind_500,1.599868178,1.599722147
ceiling,24,1,v_component_of_wind_500,1.575678229,1.575701237
ceiling,24,2,geopotential_500,48.089077,48.08351898
ceiling,24,2,temperature_850,0.6115697622,0.6115487218
ceiling,24,2,2m_temperature,0.5895349979,0.5895462036
ceiling,24,2,mean_sea_level_pressure,54.24143219,54.23519135
ceiling,24,2,specific_humidity_700,0.0004821229959,0.000482115458
ceiling,24,2,u_component_of_wind_500,1.708092928,1.708046675
ceiling,24,2,v_component_of_wind_500,1.711832047,1.711627841
ceiling,24,3,geopotential_500,44.85157776,44.85591125
ceiling,24,3,temperature_850,0.6065257192,0.6065081358
ceiling,24,3,2m_temperature,0.607688725,0.6076613665
ceiling,24,3,mean_sea_level_pressure,54.56739426,54.56991577
ceiling,24,3,specific_humidity_700,0.0004991841852,0.0004991950118
ceiling,24,3,u_component_of_wind_500,1.573539019,1.573460579
ceiling,24,3,v_component_of_wind_500,1.547872901,1.547917485
ceiling,24,4,geopotential_500,46.58019257,46.578228
ceiling,24,4,temperature_850,0.5918295383,0.5917802453
ceiling,24,4,2m_temperature,0.5817824006,0.5818158388
ceiling,24,4,mean_sea_level_pressure,54.82837677,54.82117844
ceiling,24,4,specific_humidity_700,0.0005023480626,0.0005023973645
ceiling,24,4,u_component_of_wind_500,1.626088142,1.625987411
ceiling,24,4,v_component_of_wind_500,1.691244006,1.691348195
ceiling,24,5,geopotential_500,53.17164612,53.17573929
ceiling,24,5,temperature_850,0.628978014,0.6289680004
ceiling,24,5,2m_temperature,0.5930365324,0.5930065513
ceiling,24,5,mean_sea_level_pressure,62.81341553,62.81055832
ceiling,24,5,specific_humidity_700,0.0004968298017,0.0004968332942
ceiling,24,5,u_component_of_wind_500,1.662685275,1.662745357
ceiling,24,5,v_component_of_wind_500,1.703436852,1.703351021
ceiling,24,6,geopotential_500,45.56071091,45.56321716
ceiling,24,6,temperature_850,0.6148127913,0.6148961186
ceiling,24,6,2m_temperature,0.5981721878,0.5981638432
ceiling,24,6,mean_sea_level_pressure,55.97311783,55.97906494
ceiling,24,6,specific_humidity_700,0.0005120520946,0.0005120795686
ceiling,24,6,u_component_of_wind_500,1.634642839,1.634685516
ceiling,24,6,v_component_of_wind_500,1.686219931,1.686230421
ceiling,24,7,geopotential_500,46.61657333,46.61122131
ceiling,24,7,temperature_850,0.5846118331,0.5846319795
ceiling,24,7,2m_temperature,0.5999220014,0.5998812914
ceiling,24,7,mean_sea_level_pressure,55.31594467,55.30836105
ceiling,24,7,specific_humidity_700,0.0005064408178,0.0005064638681
ceiling,24,7,u_component_of_wind_500,1.594783187,1.594544411
ceiling,24,7,v_component_of_wind_500,1.673277736,1.673112988
ceiling,24,8,geopotential_500,46.14251328,46.14125824
ceiling,24,8,temperature_850,0.5918681622,0.5919090509
ceiling,24,8,2m_temperature,0.5525244474,0.5525888205
ceiling,24,8,mean_sea_level_pressure,57.25256348,57.25642014
ceiling,24,8,specific_humidity_700,0.0004751614761,0.0004751851666
ceiling,24,8,u_component_of_wind_500,1.550268531,1.550210238
ceiling,24,8,v_component_of_wind_500,1.57684195,1.57687068
ceiling,24,9,geopotential_500,45.68835831,45.69540024
ceiling,24,9,temperature_850,0.6125522256,0.6125277877
ceiling,24,9,2m_temperature,0.5806387663,0.5805953145
ceiling,24,9,mean_sea_level_pressure,56.30615616,56.30445099
ceiling,24,9,specific_humidity_700,0.0004898676416,0.0004898853949
ceiling,24,9,u_component_of_wind_500,1.561355591,1.561359167
ceiling,24,9,v_component_of_wind_500,1.625529051,1.625558615
ceiling,24,10,geopotential_500,41.66781616,41.66702652
ceiling,24,10,temperature_850,0.572045505,0.5720473528
ceiling,24,10,2m_temperature,0.5829750896,0.5829681754
ceiling,24,10,mean_sea_level_pressure,52.49769974,52.50020218
ceiling,24,10,specific_humidity_700,0.0004975919728,0.0004976087948
ceiling,24,10,u_component_of_wind_500,1.465702295,1.46568656
ceiling,24,10,v_component_of_wind_500,1.513069153,1.513105869
ceiling,24,11,geopotential_500,46.95864868,46.95244598
ceiling,24,11,temperature_850,0.5709734559,0.570972383
ceiling,24,11,2m_temperature,0.5476736426,0.5476511121
ceiling,24,11,mean_sea_level_pressure,53.98500824,53.97664261
ceiling,24,11,specific_humidity_700,0.0004957445199,0.0004957286874
ceiling,24,11,u_component_of_wind_500,1.511919737,1.511872649
ceiling,24,11,v_component_of_wind_500,1.551248789,1.55134201
ceiling,24,12,geopotential_500,43.04547119,43.05101776
ceiling,24,12,temperature_850,0.5735887885,0.5735514164
ceiling,24,12,2m_temperature,0.5434783697,0.543481648
ceiling,24,12,mean_sea_level_pressure,52.43842316,52.44005585
ceiling,24,12,specific_humidity_700,0.0005091340863,0.000509139325
ceiling,24,12,u_component_of_wind_500,1.577615619,1.577653766
ceiling,24,12,v_component_of_wind_500,1.594159842,1.59423542
ceiling,24,13,geopotential_500,42.77238846,42.77747726
ceiling,24,13,temperature_850,0.5617215633,0.5617197156
ceiling,24,13,2m_temperature,0.5563229322,0.5563058853
ceiling,24,13,mean_sea_level_pressure,51.77604294,51.78317642
ceiling,24,13,specific_humidity_700,0.0004964289255,0.0004964095424
ceiling,24,13,u_component_of_wind_500,1.500569344,1.500567555
ceiling,24,13,v_component_of_wind_500,1.532888412,1.532952189
ceiling,24,14,geopotential_500,48.15161133,48.14670944
ceiling,24,14,temperature_850,0.5912284255,0.5912280083
ceiling,24,14,2m_temperature,0.5683662891,0.56839782
ceiling,24,14,mean_sea_level_pressure,55.92968369,55.92287445
ceiling,24,14,specific_humidity_700,0.0004958259524,0.0004958364298
ceiling,24,14,u_component_of_wind_500,1.543911099,1.543857932
ceiling,24,14,v_component_of_wind_500,1.571674705,1.571673274
ceiling,24,15,geopotential_500,48.17716599,48.18188095
ceiling,24,15,temperature_850,0.5964987278,0.5964867473
ceiling,24,15,2m_temperature,0.5895149708,0.5894486904
ceiling,24,15,mean_sea_level_pressure,55.42684174,55.42926025
ceiling,24,15,specific_humidity_700,0.0004972117604,0.0004972227034
ceiling,24,15,u_component_of_wind_500,1.543214202,1.54317522
ceiling,24,15,v_component_of_wind_500,1.58262229,1.582544565
ceiling,24,16,geopotential_500,43.12266541,43.12783432
ceiling,24,16,temperature_850,0.5615115166,0.5615055561
ceiling,24,16,2m_temperature,0.5409269929,0.5409068465
ceiling,24,16,mean_sea_level_pressure,50.32706833,50.33082199
ceiling,24,16,specific_humidity_700,0.0005043441779,0.000504354306
ceiling,24,16,u_component_of_wind_500,1.589921832,1.589971423
ceiling,24,16,v_component_of_wind_500,1.639483094,1.639605761
ceiling,24,17,geopotential_500,41.88693619,41.8877182
ceiling,24,17,temperature_850,0.5852808952,0.5852432251
ceiling,24,17,2m_temperature,0.5555016398,0.5555286407
ceiling,24,17,mean_sea_level_pressure,52.61583328,52.61536026
ceiling,24,17,specific_humidity_700,0.0005049972679,0.0005050033215
ceiling,24,17,u_component_of_wind_500,1.558671474,1.558691978
ceiling,24,17,v_component_of_wind_500,1.565559387,1.565485716
ceiling,24,18,geopotential_500,49.04723358,49.03076935
ceiling,24,18,temperature_850,0.6103639007,0.6102977395
ceiling,24,18,2m_temperature,0.5553178191,0.5553506613
ceiling,24,18,mean_sea_level_pressure,58.18894577,58.18769455
ceiling,24,18,specific_humidity_700,0.0005327343824,0.0005327249528
ceiling,24,18,u_component_of_wind_500,1.628481507,1.628466725
ceiling,24,18,v_component_of_wind_500,1.686812162,1.686541319
ceiling,24,19,geopotential_500,48.91947556,48.91656876
ceiling,24,19,temperature_850,0.6264856458,0.6265287995
ceiling,24,19,2m_temperature,0.5178418159,0.5178468227
ceiling,24,19,mean_sea_level_pressure,54.95286942,54.95053482
ceiling,24,19,specific_humidity_700,0.0005464458955,0.0005464403657
ceiling,24,19,u_component_of_wind_500,1.632691503,1.632669687
ceiling,24,19,v_component_of_wind_500,1.685984254,1.686043024
ceiling,24,20,geopotential_500,45.70005798,45.69671631
ceiling,24,20,temperature_850,0.5871093869,0.587074995
ceiling,24,20,2m_temperature,0.544778645,0.5447964072
ceiling,24,20,mean_sea_level_pressure,55.33333588,55.33338928
ceiling,24,20,specific_humidity_700,0.0005401746603,0.0005401904345
ceiling,24,20,u_component_of_wind_500,1.53758502,1.537507057
ceiling,24,20,v_component_of_wind_500,1.583469868,1.583481908
ceiling,24,21,geopotential_500,43.92853546,43.92925644
ceiling,24,21,temperature_850,0.5744890571,0.5744730234
ceiling,24,21,2m_temperature,0.551822722,0.5517698526
ceiling,24,21,mean_sea_level_pressure,55.76900482,55.76529694
ceiling,24,21,specific_humidity_700,0.0005340366624,0.0005340210628
