card,scheme,metric,block,order,lead,fp32_mean,quant_mean,pct_diff,sigma,floor_measured,at_floor
rmse,W4,Z 50,GEOPOTENTIAL,0,24,106.29970353535352,135.15262812864725,27.14299629603175,0.0,False,False
rmse,W4,Z 250,GEOPOTENTIAL,1,24,59.995694432772034,72.9512820359715,21.594195593013442,0.0,False,False
rmse,W4,Z 500,GEOPOTENTIAL,2,24,47.394000417207764,56.10873241626581,18.387837959114144,0.0,False,False
rmse,W4,Z 700,GEOPOTENTIAL,3,24,40.864360714548354,47.28556680837082,15.713462737559508,0.0,False,False
rmse,W4,Z 850,GEOPOTENTIAL,4,24,41.847382120425706,47.94024591982028,14.559725102662144,0.0,False,False
rmse,W4,T 50,TEMPERATURE,5,24,0.9673628401260485,1.146516409484156,18.519790292416406,0.0,False,False
rmse,W4,T 250,TEMPERATURE,6,24,0.5126406125716787,0.6558887855252274,27.943196352497225,0.0,False,False
rmse,W4,T 500,TEMPERATURE,7,24,0.44482274648980863,0.533490039468234,19.933174208854645,0.0,False,False
rmse,W4,T 700,TEMPERATURE,8,24,0.4572515672197853,0.5299642280008864,15.902112971031228,0.0,False,False
rmse,W4,T 850,TEMPERATURE,9,24,0.5732426877188003,0.6411456621695144,11.845414848801946,0.0,False,False
rmse,W4,Q 50,HUMIDITY,10,24,3.11892961861767e-08,3.7268369113614146e-08,19.490894860691757,0.0,False,False
rmse,W4,Q 250,HUMIDITY,11,24,2.2681503640925814e-05,2.4727160804752278e-05,9.01905445164289,0.0,False,False
rmse,W4,Q 500,HUMIDITY,12,24,0.00025835183761210384,0.00028021140518519935,8.461162024291859,0.0,False,False
rmse,W4,Q 700,HUMIDITY,13,24,0.0004653732107469364,0.0005045291690661893,8.413883183436056,0.0,False,False
rmse,W4,Q 850,HUMIDITY,14,24,0.0005638050738960304,0.000602828399645127,6.921421525960376,0.0,False,False
rmse,W4,U 50,U-WIND,15,24,1.7717705111029343,2.174175364458157,22.712018900502187,0.0,False,False
rmse,W4,U 250,U-WIND,16,24,2.005566720724004,2.3295925409262033,16.15632214346012,0.0,False,False
rmse,W4,U 500,U-WIND,17,24,1.4320900049108682,1.6335469280371615,14.067336720140835,0.0,False,False
rmse,W4,U 700,U-WIND,18,24,1.1851816373483401,1.310807401586195,10.599705587653467,0.0,False,False
