tag,floor,guide,cost,balance,conservation,config
W4W8_floor,W4,uniform,2.28207e+08,11.8753,2.84101,
ceiling,bf16,uniform,9.12826e+08,0,0,
W4W8_knee,W4,physics,2.28348e+08,6.64788,2.7884,W8:head
W4W8_span1,W4,physics,3.9483e+08,0.423072,0.344126,bf16:embed|head;W8:adaln|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn
W4W8_span2,W4,physics,5.70991e+08,0.144932,0.0272309,bf16:b12-17_mlp|b18-23_attn|b18-23_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b6-11_mlp
W4W8_span3,W4,physics,7.59734e+08,0.0098939,0.00110347,bf16:b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln
W4W8_rmse_span1,W4,rmse,3.56033e+08,1.09842,0.794024,bf16:embed|head;W8:b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp
W4W8_rmse_span2,W4,rmse,5.58408e+08,0.121578,0.237561,bf16:b18-23_attn|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_mlp
W4W8_rmse_span3,W4,rmse,7.09403e+08,0.0175552,0.00328232,bf16:b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_mlp
W4W8_rmseup_span1,W4,rmse,4.57744e+08,0.159939,0.274627,bf16:embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp
W4W8_rmseup_span2,W4,rmse,6.33905e+08,0.0404329,0.0230466,bf16:b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp
W4W8_rmseup_span3,W4,rmse,8.62495e+08,0.00766129,0.00217885,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:b0-5_mlp
W8A8_floor,W8A8,uniform,0,0.950237,0.407754,
W8A8_knee,W8A8,physics,0.00345677,0.45525,0.284864,bf16:embed
W8A8_span1,W8A8,physics,0.253338,0.093595,0.0638082,bf16:adaln|b18-23_attn|b18-23_mlp|embed|head
W8A8_span2,W8A8,physics,0.502225,0.071355,0.0247896,bf16:adaln|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
W8A8_span3,W8A8,physics,0.751113,0.0179914,0.00253083,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
